T,M,Time
1,1,4.540188
1,10,28.719530
1,20,44.313220
1,30,55.250208
1,40,57.848793
1,50,60.563778
1,100,60.532759
10,1,0.219107
10,10,3.430896
10,20,5.505801
10,30,6.844743
10,40,7.222174
10,50,7.641285
10,100,7.676991
20,1,0.311459
20,10,1.872598
20,20,3.001569
20,30,3.728465
20,40,3.973082
20,50,4.404310
20,100,4.297582
