T,M,Time
1,1,0.4179814
1,10,16.0207454
1,20,30.2171564
1,30,44.140075
1,40,50.3321836
1,50,60.58934726
1,100,60.60521226
10,1,0.2135708
10,10,2.0729956
10,20,3.5100622
10,30,4.9445296
10,40,5.5210644
10,50,6.5795076
10,100,6.5601874
20,1,0.213851
20,10,1.351271
20,20,2.0955548
20,30,2.6794994
20,40,3.0451364
20,50,3.65716
20,100,3.644278
